Time,Start Side,Left duration,Right duration,TotalDuration,Resource
"1/13/18, 4:49 PM",Right,7,11,18,Nursing
"1/13/18, 6:13 PM",Left,20,4,24,Nursing
"1/14/18, 12:24 AM",Left,17,6,23,Nursing
"1/14/18, 4:25 AM",Right,7,25,32,Nursing
"1/14/18, 7:30 AM",Left,17,4,21,Nursing
"1/14/18, 10:05 AM",Left,22,8,30,Nursing
"1/14/18, 1:36 PM",Left,23,10,33,Nursing
"1/14/18, 5:05 PM",Right,6,16,22,Nursing
"1/14/18, 6:28 PM",Left,13,15,28,Nursing
"1/15/18, 3:50 AM",Left,10,5,15,Nursing
"1/15/18, 7:41 AM",Right,5,22,27,Nursing
"1/15/18, 10:08 AM",Left,14,9,23,Nursing
"1/15/18, 6:19 PM",Left,15,8,23,Nursing
"1/16/18, 3:11 AM",Left,13,5,18,Nursing
"1/16/18, 7:25 AM",Left,14,2,16,Nursing
"1/16/18, 6:35 PM",Left,15,0,15,Nursing
"1/17/18, 12:39 AM",Left,15,1,16,Nursing
"1/17/18, 4:04 AM",Right,10,5,15,Nursing
"1/17/18, 7:13 AM",Left,4,4,8,Nursing
"1/17/18, 6:29 PM",Left,11,15,26,Nursing
"1/17/18, 11:48 PM",Left,13,5,18,Nursing
"1/18/18, 5:58 AM",Left,14,0,14,Nursing
"1/18/18, 8:23 AM",Right,3,7,10,Nursing
"1/18/18, 6:34 PM",Left,12,16,28,Nursing
"1/19/18, 5:09 AM",Right,1,23,24,Nursing
"1/19/18, 7:24 AM",Left,12,0,12,Nursing
"1/19/18, 6:36 PM",Left,24,2,26,Nursing
"1/20/18, 4:29 AM",Left,11,0,11,Nursing
"1/20/18, 8:27 AM",Right,6,14,20,Nursing
"1/20/18, 11:03 AM",Left,11,12,23,Nursing
"1/20/18, 1:24 PM",Right,13,8,21,Nursing
"1/20/18, 4:48 PM",Left,9,15,24,Nursing
"1/20/18, 6:33 PM",Right,5,27,32,Nursing
"1/21/18, 3:15 AM",Left,7,4,11,Nursing
"1/21/18, 7:24 AM",Left,7,1,8,Nursing
"1/21/18, 10:28 AM",Left,14,6,20,Nursing
"1/21/18, 1:41 PM",Right,5,15,20,Nursing
"1/21/18, 4:05 PM",Left,20,8,28,Nursing
"1/21/18, 6:06 PM",Right,7,26,33,Nursing
"1/22/18, 4:16 AM",Left,5,5,10,Nursing
"1/22/18, 7:24 AM",Left,8,6,14,Nursing
"1/22/18, 6:47 PM",Left,21,4,25,Nursing
"1/23/18, 5:30 AM",Left,3,3,6,Nursing
"1/23/18, 7:33 AM",Left,5,2,7,Nursing
"1/23/18, 6:16 PM",Left,10,2,12,Nursing
"1/24/18, 3:09 AM",Left,5,3,8,Nursing
"1/24/18, 7:24 AM",Left,7,1,8,Nursing
"1/24/18, 6:26 PM",Left,9,4,13,Nursing
"1/25/18, 5:29 AM",Left,5,0,5,Nursing
"1/25/18, 7:32 AM",Right,27,6,33,Nursing
"1/25/18, 6:39 PM",Left,18,32,50,Nursing
"1/26/18, 12:00 AM",Left,9,7,16,Nursing
"1/26/18, 6:46 AM",Left,7,10,17,Nursing
"1/26/18, 7:16 PM",Left,10,11,21,Nursing
"1/27/18, 4:35 AM",Left,5,1,6,Nursing
"1/27/18, 7:47 AM",Left,5,6,11,Nursing
"1/27/18, 10:37 AM",Left,10,6,16,Nursing
"1/27/18, 2:55 PM",Right,9,5,14,Nursing
"1/27/18, 6:41 PM",Left,13,4,17,Nursing
"1/28/18, 6:06 AM",Left,16,9,25,Nursing
"1/28/18, 8:25 AM",Left,4,8,12,Nursing
"1/28/18, 11:07 AM",Left,10,8,18,Nursing
"1/28/18, 3:30 PM",Right,12,8,20,Nursing
"1/28/18, 6:16 PM",Left,20,18,38,Nursing
"1/28/18, 11:45 PM",Left,11,5,16,Nursing
"1/29/18, 6:13 AM",Right,2,17,19,Nursing
"1/29/18, 6:37 PM",Left,18,8,26,Nursing
"1/29/18, 10:07 PM",Left,12,0,12,Nursing
"1/30/18, 12:27 AM",Right,6,13,19,Nursing
"1/30/18, 5:23 AM",Left,4,1,5,Nursing
"1/30/18, 8:24 AM",Left,4,12,16,Nursing
"1/30/18, 11:20 AM",Left,8,3,11,Nursing
"1/30/18, 2:03 PM",Right,9,12,21,Nursing
"1/30/18, 5:07 PM",Left,7,6,13,Nursing
"1/30/18, 6:16 PM",Right,3,5,8,Nursing
"1/30/18, 10:26 PM",Left,6,14,20,Nursing
"1/31/18, 1:13 AM",Right,0,35,35,Nursing
"1/31/18, 3:03 AM",Left,11,0,11,Nursing
"1/31/18, 3:57 AM",Right,1,10,11,Nursing
"1/31/18, 6:25 AM",Right,7,17,24,Nursing
"1/31/18, 7:55 AM",Left,15,0,15,Nursing
"1/31/18, 6:48 PM",Left,12,1,13,Nursing
"2/1/18, 3:54 AM",Left,6,3,9,Nursing
"12/31/17, 8:00 PM",,,,271,Sleep
"1/1/18, 12:54 AM",,,,0,Sleep
"1/1/18, 1:00 AM",,,,237,Sleep
"1/1/18, 5:31 AM",,,,153,Sleep
"1/1/18, 10:25 AM",,,,43,Sleep
"1/1/18, 1:00 PM",,,,24,Sleep
"1/1/18, 3:04 PM",,,,53,Sleep
"1/1/18, 6:00 PM",,,,20,Sleep
"1/1/18, 8:45 PM",,,,335,Sleep
"1/2/18, 2:55 AM",,,,151,Sleep
"1/2/18, 5:59 AM",,,,104,Sleep
"1/2/18, 10:15 AM",,,,25,Sleep
"1/2/18, 1:40 PM",,,,20,Sleep
"1/2/18, 4:00 PM",,,,25,Sleep
"1/2/18, 7:32 PM",,,,265,Sleep
"1/3/18, 12:49 AM",,,,338,Sleep
"1/3/18, 6:53 AM",,,,132,Sleep
"1/3/18, 11:03 AM",,,,39,Sleep
"1/3/18, 1:52 PM",,,,40,Sleep
"1/3/18, 4:28 PM",,,,32,Sleep
"1/3/18, 7:45 PM",,,,29,Sleep
"1/3/18, 8:30 PM",,,,259,Sleep
"1/4/18, 1:21 AM",,,,206,Sleep
"1/4/18, 4:59 AM",,,,117,Sleep
"1/4/18, 9:30 AM",,,,30,Sleep
"1/4/18, 10:35 AM",,,,70,Sleep
"1/4/18, 1:30 PM",,,,50,Sleep
"1/4/18, 7:41 PM",,,,193,Sleep
"1/4/18, 11:09 PM",,,,231,Sleep
"1/5/18, 3:12 AM",,,,190,Sleep
"1/5/18, 10:30 AM",,,,60,Sleep
"1/5/18, 2:30 PM",,,,30,Sleep
"1/5/18, 5:10 PM",,,,35,Sleep
"1/5/18, 7:30 PM",,,,403,Sleep
"1/6/18, 2:34 AM",,,,269,Sleep
"1/6/18, 7:43 AM",,,,33,Sleep
"1/6/18, 9:50 AM",,,,38,Sleep
"1/6/18, 12:05 PM",,,,97,Sleep
"1/6/18, 3:21 PM",,,,50,Sleep
"1/6/18, 6:01 PM",,,,30,Sleep
"1/6/18, 7:55 PM",,,,406,Sleep
"1/7/18, 3:20 AM",,,,252,Sleep
"1/7/18, 9:36 AM",,,,31,Sleep
"1/7/18, 11:53 AM",,,,38,Sleep
"1/7/18, 1:56 PM",,,,41,Sleep
"1/7/18, 3:59 PM",,,,34,Sleep
"1/7/18, 6:59 PM",,,,31,Sleep
"1/7/18, 8:58 PM",,,,272,Sleep
"1/8/18, 1:57 AM",,,,123,Sleep
"1/8/18, 5:00 AM",,,,72,Sleep
"1/8/18, 6:22 AM",,,,66,Sleep
"1/8/18, 10:00 AM",,,,60,Sleep
"1/8/18, 1:10 PM",,,,15,Sleep
"1/8/18, 2:50 PM",,,,89,Sleep
"1/8/18, 8:08 PM",,,,329,Sleep
"1/9/18, 2:09 AM",,,,282,Sleep
"1/9/18, 7:32 AM",,,,58,Sleep
"1/9/18, 11:00 AM",,,,30,Sleep
"1/9/18, 1:40 PM",,,,40,Sleep
"1/9/18, 4:50 PM",,,,30,Sleep
"1/9/18, 7:30 PM",,,,498,Sleep
"1/10/18, 5:20 AM",,,,136,Sleep
"1/10/18, 8:13 AM",,,,129,Sleep
"1/10/18, 12:01 PM",,,,86,Sleep
"1/10/18, 3:15 PM",,,,80,Sleep
"1/10/18, 6:58 PM",,,,27,Sleep
"1/10/18, 7:50 PM",,,,129,Sleep
"1/10/18, 10:23 PM",,,,237,Sleep
"1/11/18, 2:50 AM",,,,193,Sleep
"1/11/18, 6:33 AM",,,,42,Sleep
"1/11/18, 9:30 AM",,,,34,Sleep
"1/11/18, 10:40 AM",,,,90,Sleep
"1/11/18, 3:00 PM",,,,30,Sleep
"1/11/18, 4:15 PM",,,,45,Sleep
"1/11/18, 7:17 PM",,,,430,Sleep
"1/12/18, 3:02 AM",,,,223,Sleep
"1/12/18, 9:45 AM",,,,30,Sleep
"1/12/18, 11:55 AM",,,,20,Sleep
"1/12/18, 1:35 PM",,,,35,Sleep
"1/12/18, 4:05 PM",,,,20,Sleep
"1/12/18, 7:20 PM",,,,623,Sleep
"1/13/18, 6:26 AM",,,,90,Sleep
"1/13/18, 8:25 AM",,,,59,Sleep
"1/13/18, 11:15 AM",,,,30,Sleep
"1/13/18, 12:19 PM",,,,55,Sleep
"1/13/18, 3:27 PM",,,,52,Sleep
"1/13/18, 7:10 PM",,,,314,Sleep
"1/14/18, 12:53 AM",,,,211,Sleep
"1/14/18, 5:00 AM",,,,149,Sleep
"1/14/18, 8:01 AM",,,,20,Sleep
"1/14/18, 8:30 AM",,,,45,Sleep
"1/14/18, 10:59 AM",,,,40,Sleep
"1/14/18, 11:50 AM",,,,105,Sleep
"1/14/18, 4:04 PM",,,,30,Sleep
"1/14/18, 7:24 PM",,,,505,Sleep
"1/15/18, 4:14 AM",,,,207,Sleep
"1/15/18, 8:45 AM",,,,74,Sleep
"1/15/18, 1:00 PM",,,,40,Sleep
"1/15/18, 3:15 PM",,,,35,Sleep
"1/15/18, 7:02 PM",,,,488,Sleep
"1/16/18, 4:01 AM",,,,204,Sleep
"1/16/18, 10:00 AM",,,,45,Sleep
"1/16/18, 2:50 PM",,,,30,Sleep
"1/16/18, 5:25 PM",,,,25,Sleep
"1/16/18, 7:32 PM",,,,306,Sleep
"1/17/18, 1:06 AM",,,,177,Sleep
"1/17/18, 4:31 AM",,,,158,Sleep
"1/17/18, 7:58 AM",,,,121,Sleep
"1/17/18, 11:45 AM",,,,29,Sleep
"1/17/18, 1:39 PM",,,,81,Sleep
"1/17/18, 4:35 PM",,,,47,Sleep
"1/17/18, 7:17 PM",,,,270,Sleep
"1/18/18, 2:00 AM",,,,238,Sleep
"1/18/18, 6:45 AM",,,,98,Sleep
"1/18/18, 11:45 AM",,,,25,Sleep
"1/18/18, 2:20 PM",,,,30,Sleep
"1/18/18, 4:40 PM",,,,30,Sleep
"1/18/18, 7:46 PM",,,,143,Sleep
"1/18/18, 10:20 PM",,,,410,Sleep
"1/19/18, 5:35 AM",,,,109,Sleep
"1/19/18, 10:30 AM",,,,34,Sleep
"1/19/18, 1:35 PM",,,,30,Sleep
"1/19/18, 4:10 PM",,,,30,Sleep
"1/19/18, 7:30 PM",,,,539,Sleep
"1/20/18, 4:46 AM",,,,220,Sleep
"1/20/18, 9:33 AM",,,,57,Sleep
"1/20/18, 12:20 PM",,,,40,Sleep
"1/20/18, 2:40 PM",,,,84,Sleep
"1/20/18, 7:36 PM",,,,458,Sleep
"1/21/18, 3:35 AM",,,,229,Sleep
"1/21/18, 9:54 AM",,,,23,Sleep
"1/21/18, 12:02 PM",,,,98,Sleep
"1/21/18, 2:51 PM",,,,0,Sleep
"1/21/18, 2:54 PM",,,,49,Sleep
"1/21/18, 7:43 PM",,,,512,Sleep
"1/22/18, 4:30 AM",,,,173,Sleep
"1/22/18, 10:30 AM",,,,25,Sleep
"1/22/18, 12:35 PM",,,,30,Sleep
"1/22/18, 1:45 PM",,,,35,Sleep
"1/22/18, 6:00 PM",,,,25,Sleep
"1/22/18, 7:29 PM",,,,600,Sleep
"1/23/18, 5:44 AM",,,,106,Sleep
"1/23/18, 10:10 AM",,,,20,Sleep
"1/23/18, 1:05 PM",,,,45,Sleep
"1/23/18, 4:00 PM",,,,50,Sleep
"1/23/18, 7:15 PM",,,,474,Sleep
"1/24/18, 3:20 AM",,,,244,Sleep
"1/24/18, 7:50 AM",,,,41,Sleep
"1/24/18, 10:17 AM",,,,95,Sleep
"1/24/18, 1:30 PM",,,,111,Sleep
"1/24/18, 4:38 PM",,,,37,Sleep
"1/24/18, 7:22 PM",,,,606,Sleep
"1/25/18, 6:01 AM",,,,83,Sleep
"1/25/18, 10:55 AM",,,,30,Sleep
"1/25/18, 1:35 PM",,,,135,Sleep
"1/25/18, 8:00 PM",,,,239,Sleep
"1/26/18, 12:47 AM",,,,359,Sleep
"1/26/18, 7:24 AM",,,,96,Sleep
"1/26/18, 11:35 AM",,,,19,Sleep
"1/26/18, 1:30 PM",,,,25,Sleep
"1/26/18, 3:35 PM",,,,74,Sleep
"1/26/18, 8:07 PM",,,,507,Sleep
"1/27/18, 4:48 AM",,,,178,Sleep
"1/27/18, 8:39 AM",,,,56,Sleep
"1/27/18, 11:30 AM",,,,180,Sleep
"1/27/18, 5:20 PM",,,,35,Sleep
"1/27/18, 7:45 PM",,,,620,Sleep
"1/28/18, 6:37 AM",,,,102,Sleep
"1/28/18, 9:11 AM",,,,113,Sleep
"1/28/18, 12:57 PM",,,,144,Sleep
"1/28/18, 4:21 PM",,,,32,Sleep
"1/28/18, 7:29 PM",,,,256,Sleep
"1/29/18, 12:04 AM",,,,368,Sleep
"1/29/18, 6:48 AM",,,,114,Sleep
"1/29/18, 9:54 AM",,,,152,Sleep
"1/29/18, 1:34 PM",,,,41,Sleep
"1/29/18, 3:55 PM",,,,35,Sleep
"1/29/18, 6:00 PM",,,,7,Sleep
"1/29/18, 8:05 PM",,,,121,Sleep
"1/29/18, 10:20 PM",,,,127,Sleep
"1/30/18, 12:51 AM",,,,271,Sleep
"1/30/18, 6:23 AM",,,,111,Sleep
"1/30/18, 9:45 AM",,,,90,Sleep
"1/30/18, 12:47 PM",,,,70,Sleep
"1/30/18, 3:54 PM",,,,56,Sleep
"1/30/18, 7:50 PM",,,,155,Sleep
"1/30/18, 10:46 PM",,,,146,Sleep
"1/31/18, 1:48 AM",,,,75,Sleep
"1/31/18, 3:15 AM",,,,42,Sleep
"1/31/18, 4:39 AM",,,,106,Sleep
"1/31/18, 6:51 AM",,,,61,Sleep
"1/31/18, 8:10 AM",,,,20,Sleep
"1/31/18, 10:40 AM",,,,91,Sleep
"1/31/18, 1:37 PM",,,,44,Sleep
"1/31/18, 4:44 PM",,,,31,Sleep
"1/31/18, 7:38 PM",,,,495,Sleep
"2/1/18, 4:08 AM",,,,151,Sleep
"1/1/18, 4:57 AM",,,,15,BottlePumped
"1/1/18, 7:44 PM",,,,15,BottlePumped
"1/2/18, 5:27 AM",,,,15,BottlePumped
"1/2/18, 9:35 AM",,,,15,BottlePumped
"1/2/18, 12:30 PM",,,,15,BottlePumped
"1/2/18, 3:00 PM",,,,15,BottlePumped
"1/2/18, 5:29 PM",,,,15,BottlePumped
"1/2/18, 5:32 PM",,,,15,BottlePumped
"1/2/18, 5:37 PM",,,,15,BottlePumped
"1/2/18, 11:59 PM",,,,15,BottlePumped
"1/3/18, 9:39 AM",,,,15,BottlePumped
"1/3/18, 9:57 AM",,,,15,BottlePumped
"1/3/18, 10:04 AM",,,,15,BottlePumped
"1/3/18, 12:19 PM",,,,15,BottlePumped
"1/3/18, 12:21 PM",,,,15,BottlePumped
"1/3/18, 12:53 PM",,,,15,BottlePumped
"1/3/18, 1:06 PM",,,,15,BottlePumped
"1/3/18, 3:43 PM",,,,15,BottlePumped
"1/3/18, 5:27 PM",,,,15,BottlePumped
"1/3/18, 6:51 PM",,,,15,BottlePumped
"1/4/18, 4:48 AM",,,,15,BottlePumped
"1/4/18, 7:00 AM",,,,15,BottlePumped
"1/4/18, 9:05 AM",,,,15,BottlePumped
"1/4/18, 12:00 PM",,,,15,BottlePumped
"1/4/18, 2:30 PM",,,,15,BottlePumped
"1/4/18, 5:00 PM",,,,15,BottlePumped
"1/4/18, 7:12 PM",,,,15,BottlePumped
"1/5/18, 3:01 AM",,,,15,BottlePumped
"1/5/18, 6:26 AM",,,,15,BottlePumped
"1/5/18, 9:00 AM",,,,15,BottlePumped
"1/5/18, 11:30 AM",,,,15,BottlePumped
"1/5/18, 2:00 PM",,,,15,BottlePumped
"1/5/18, 4:45 PM",,,,15,BottlePumped
"1/8/18, 4:00 AM",,,,15,BottlePumped
"1/8/18, 4:02 AM",,,,15,BottlePumped
"1/8/18, 9:05 AM",,,,15,BottlePumped
"1/8/18, 11:30 AM",,,,15,BottlePumped
"1/8/18, 2:00 PM",,,,15,BottlePumped
"1/8/18, 5:13 PM",,,,15,BottlePumped
"1/9/18, 11:55 AM",,,,15,BottlePumped
"1/9/18, 2:40 PM",,,,15,BottlePumped
"1/9/18, 4:45 PM",,,,15,BottlePumped
"1/9/18, 6:24 PM",,,,15,BottlePumped
"1/10/18, 10:23 AM",,,,15,BottlePumped
"1/10/18, 1:45 PM",,,,15,BottlePumped
"1/10/18, 1:47 PM",,,,15,BottlePumped
"1/10/18, 4:51 PM",,,,15,BottlePumped
"1/11/18, 8:35 AM",,,,15,BottlePumped
"1/11/18, 12:27 PM",,,,15,BottlePumped
"1/11/18, 2:30 PM",,,,15,BottlePumped
"1/11/18, 3:50 PM",,,,15,BottlePumped
"1/11/18, 5:20 PM",,,,15,BottlePumped
"1/11/18, 7:02 PM",,,,15,BottlePumped
"1/12/18, 9:15 AM",,,,15,BottlePumped
"1/12/18, 11:00 AM",,,,15,BottlePumped
"1/12/18, 11:40 AM",,,,15,BottlePumped
"1/12/18, 2:14 PM",,,,15,BottlePumped
"1/12/18, 4:15 PM",,,,15,BottlePumped
"1/13/18, 7:15 PM",,,,15,BottlePumped
"1/14/18, 2:22 PM",,,,15,BottlePumped
"1/14/18, 5:35 PM",,,,15,BottlePumped
"1/14/18, 7:10 PM",,,,15,BottlePumped
"1/15/18, 12:01 PM",,,,15,BottlePumped
"1/15/18, 2:45 PM",,,,15,BottlePumped
"1/15/18, 5:00 PM",,,,15,BottlePumped
"1/15/18, 6:57 PM",,,,15,BottlePumped
"1/16/18, 9:30 AM",,,,15,BottlePumped
"1/16/18, 12:00 PM",,,,15,BottlePumped
"1/16/18, 2:15 PM",,,,15,BottlePumped
"1/16/18, 5:00 PM",,,,15,BottlePumped
"1/17/18, 10:36 AM",,,,15,BottlePumped
"1/17/18, 12:44 PM",,,,15,BottlePumped
"1/17/18, 12:46 PM",,,,15,BottlePumped
"1/17/18, 1:28 PM",,,,15,BottlePumped
"1/17/18, 3:30 PM",,,,15,BottlePumped
"1/17/18, 5:33 PM",,,,15,BottlePumped
"1/17/18, 7:00 PM",,,,15,BottlePumped
"1/18/18, 10:33 AM",,,,15,BottlePumped
"1/18/18, 1:00 PM",,,,15,BottlePumped
"1/18/18, 3:34 PM",,,,15,BottlePumped
"1/18/18, 5:47 PM",,,,15,BottlePumped
"1/18/18, 6:00 PM",,,,15,BottlePumped
"1/19/18, 9:30 AM",,,,15,BottlePumped
"1/19/18, 12:30 PM",,,,15,BottlePumped
"1/19/18, 5:00 PM",,,,15,BottlePumped
"1/19/18, 5:59 PM",,,,15,BottlePumped
"1/22/18, 9:30 AM",,,,15,BottlePumped
"1/22/18, 11:50 AM",,,,15,BottlePumped
"1/22/18, 2:45 PM",,,,15,BottlePumped
"1/22/18, 5:14 PM",,,,15,BottlePumped
"1/23/18, 9:20 AM",,,,15,BottlePumped
"1/23/18, 12:00 PM",,,,15,BottlePumped
"1/23/18, 2:30 PM",,,,15,BottlePumped
"1/23/18, 5:00 PM",,,,15,BottlePumped
"1/24/18, 12:17 PM",,,,15,BottlePumped
"1/24/18, 3:46 PM",,,,15,BottlePumped
"1/24/18, 5:41 PM",,,,15,BottlePumped
"1/25/18, 9:30 AM",,,,15,BottlePumped
"1/25/18, 4:00 PM",,,,15,BottlePumped
"1/26/18, 9:35 AM",,,,15,BottlePumped
"1/26/18, 2:20 PM",,,,15,BottlePumped
"1/26/18, 4:50 PM",,,,15,BottlePumped
"1/26/18, 7:53 PM",,,,15,BottlePumped
"1/29/18, 9:22 AM",,,,15,BottlePumped
"1/29/18, 12:44 PM",,,,15,BottlePumped
"1/29/18, 12:49 PM",,,,15,BottlePumped
"1/29/18, 3:25 PM",,,,15,BottlePumped
"1/29/18, 4:42 PM",,,,15,BottlePumped
"1/30/18, 6:35 PM",,,,15,BottlePumped
"1/31/18, 9:48 AM",,,,15,BottlePumped
"1/31/18, 12:29 PM",,,,15,BottlePumped
"1/31/18, 12:29 PM",,,,15,BottlePumped
"1/31/18, 2:31 PM",,,,15,BottlePumped
"1/31/18, 5:31 PM",,,,15,BottlePumped
"1/20/18, 7:20 PM",,,,15,BottleFormula
"1/21/18, 6:55 PM",,,,15,BottleFormula
"1/23/18, 6:52 PM",,,,15,BottleFormula
"1/24/18, 9:25 AM",,,,15,BottleFormula
"1/25/18, 12:38 PM",,,,15,BottleFormula
"1/26/18, 12:20 PM",,,,15,BottleFormula
"1/27/18, 7:33 PM",,,,15,BottleFormula
"1/31/18, 2:32 PM",,,,15,BottleFormula
"1/31/18, 2:52 PM",,,,15,BottleFormula
"1/31/18, 4:06 PM",,,,15,BottleFormula
"1/1/18, 5:31 AM",,,,15,Wet
"1/1/18, 9:19 AM",,,,15,Wet
"1/1/18, 12:34 PM",,,,15,Wet
"1/1/18, 6:20 PM",,,,15,Wet
"1/1/18, 7:44 PM",,,,15,Wet
"1/2/18, 5:59 AM",,,,15,Wet
"1/2/18, 8:17 AM",,,,15,Wet
"1/2/18, 3:00 PM",,,,15,Wet
"1/2/18, 5:25 PM",,,,15,Wet
"1/2/18, 7:09 PM",,,,15,Wet
"1/3/18, 9:10 AM",,,,15,Wet
"1/3/18, 11:03 AM",,,,15,Wet
"1/3/18, 1:37 PM",,,,15,Dirty
"1/3/18, 4:15 PM",,,,15,Wet
"1/3/18, 7:10 PM",,,,15,Mixed
"1/4/18, 7:38 AM",,,,15,Wet
"1/4/18, 10:00 AM",,,,15,Wet
"1/4/18, 12:00 PM",,,,15,Wet
"1/4/18, 2:00 PM",,,,15,Wet
"1/4/18, 4:00 PM",,,,15,Wet
"1/4/18, 6:00 PM",,,,15,Wet
"1/4/18, 7:24 PM",,,,15,Wet
"1/5/18, 6:15 PM",,,,15,Wet
"1/6/18, 7:26 AM",,,,15,Wet
"1/6/18, 11:01 AM",,,,15,Wet
"1/6/18, 4:12 PM",,,,15,Wet
"1/6/18, 4:51 PM",,,,15,Dirty
"1/6/18, 7:30 PM",,,,15,Wet
"1/7/18, 3:14 AM",,,,15,Wet
"1/7/18, 7:51 AM",,,,15,Wet
"1/7/18, 12:30 PM",,,,15,Wet
"1/7/18, 8:18 PM",,,,15,Wet
"1/8/18, 8:00 AM",,,,15,Wet
"1/8/18, 4:30 PM",,,,15,Wet
"1/8/18, 7:11 PM",,,,15,Wet
"1/9/18, 7:19 AM",,,,15,Wet
"1/9/18, 10:30 AM",,,,15,Wet
"1/9/18, 12:30 PM",,,,15,Wet
"1/9/18, 2:30 PM",,,,15,Dirty
"1/9/18, 4:30 PM",,,,15,Wet
"1/9/18, 6:05 PM",,,,15,Wet
"1/9/18, 6:58 PM",,,,15,Dirty
"1/10/18, 4:45 AM",,,,15,Wet
"1/10/18, 7:39 AM",,,,15,Wet
"1/10/18, 10:23 AM",,,,15,Wet
"1/10/18, 2:47 PM",,,,15,Mixed
"1/10/18, 6:26 PM",,,,15,Wet
"1/11/18, 2:46 AM",,,,15,Wet
"1/11/18, 7:05 AM",,,,15,Wet
"1/11/18, 8:30 AM",,,,15,Wet
"1/11/18, 10:30 AM",,,,15,Wet
"1/11/18, 12:35 PM",,,,15,Wet
"1/11/18, 2:30 PM",,,,15,Wet
"1/11/18, 5:04 PM",,,,15,Wet
"1/11/18, 6:10 PM",,,,15,Wet
"1/11/18, 7:00 PM",,,,15,Wet
"1/12/18, 3:02 AM",,,,15,Wet
"1/12/18, 7:04 AM",,,,15,Wet
"1/12/18, 6:00 PM",,,,15,Wet
"1/13/18, 6:15 AM",,,,15,Wet
"1/13/18, 9:24 AM",,,,15,Mixed
"1/13/18, 10:45 AM",,,,15,Wet
"1/13/18, 1:50 PM",,,,15,Wet
"1/13/18, 4:30 PM",,,,15,Wet
"1/13/18, 6:55 PM",,,,15,Dirty
"1/14/18, 12:46 AM",,,,15,Wet
"1/14/18, 7:47 AM",,,,15,Wet
"1/14/18, 10:41 AM",,,,15,Wet
"1/14/18, 3:47 PM",,,,15,Wet
